iter	Passed	Remaining
1160	18455	61026
1161	18469	61003
1162	18525	61120
1163	18712	61668
1164	18736	61677
1165	18776	61741
1166	18814	61795
1167	18845	61827
1168	18862	61816
1169	18891	61840
1170	18918	61861
1171	18943	61873
1172	18962	61866
1173	18983	61864
1174	19006	61872
1175	19031	61885
1176	19051	61880
1177	19071	61878
1178	19092	61875
1179	19108	61860
1180	19127	61851
1181	19144	61839
1182	19162	61827
1183	19182	61823
1184	19199	61812
1185	19215	61794
1186	19231	61778
1187	19247	61759
1188	19261	61737
1189	19275	61712
1190	19289	61690
1191	19303	61666
1192	19318	61646
1193	19333	61628
1194	19347	61605
1195	19364	61591
1196	19379	61571
1197	19394	61551
1198	19408	61528
1199	19422	61505
1200	19437	61484
1201	19453	61467
1202	19468	61446
1203	19483	61427
1204	19498	61409
1205	19514	61392
1206	19528	61368
1207	19541	61343
1208	19557	61326
1209	19573	61310
1210	19589	61290
1211	19605	61276
1212	19622	61262
1213	19638	61246
1214	19655	61231
1215	19670	61210
1216	19686	61193
1217	19701	61176
1218	19715	61152
1219	19731	61136
1220	19748	61120
1221	19765	61107
1222	19782	61094
1223	19797	61073
1224	19813	61056
1225	19832	61051
1226	19849	61035
1227	19862	61009
1228	19876	60988
1229	19889	60962
1230	19904	60941
1231	19918	60918
1232	19931	60894
1233	19945	60870
1234	19959	60848
1235	19975	60830
1236	19988	60806
1237	20004	60789
1238	20018	60767
1239	20035	60753
1240	20053	60742
1241	20067	60719
1242	20083	60702
1243	20097	60681
1244	20122	60690
1245	20136	60668
1246	20151	60648
1247	20164	60623
1248	20178	60600
1249	20192	60578
1250	20207	60558
1251	20222	60538
1252	20252	60562
1253	20275	60568
1254	20296	60564
1255	20309	60541
1256	20325	60525
1257	20340	60504
1258	20355	60484
1259	20371	60467
1260	20384	60440
1261	20397	60416
1262	20410	60390
1263	20423	60366
1264	20436	60341
1265	20450	60316
1266	20462	60290
1267	20477	60269
1268	20490	60245
1269	20504	60221
1270	20518	60198
1271	20533	60179
1272	20548	60160
1273	20561	60135
1274	20575	60113
1275	20591	60097
1276	20609	60086
1277	20624	60064
1278	20638	60044
1279	20656	60031
1280	20672	60015
1281	20690	60004
1282	20704	59982
1283	20722	59972
1284	20749	59988
1285	20774	59996
1286	20797	60000
1287	20818	59998
1288	20838	59994
1289	20853	59974
1290	20871	59962
1291	20887	59946
1292	20902	59926
1293	20921	59919
1294	20935	59896
1295	20950	59876
1296	20964	59854
1297	20977	59828
1298	20990	59804
1299	21008	59792
1300	21020	59765
1301	21034	59744
1302	21047	59716
1303	21060	59693
1304	21072	59665
1305	21086	59641
1306	21097	59611
1307	21110	59588
1308	21122	59558
1309	21135	59534
1310	21146	59503
1311	21159	59479
1312	21170	59448
1313	21183	59423
1314	21194	59392
1315	21205	59362
1316	21216	59332
1317	21227	59302
1318	21239	59275
1319	21253	59251
1320	21265	59223
1321	21278	59198
1322	21289	59169
1323	21302	59144
1324	21314	59116
1325	21326	59090
1326	21338	59063
1327	21350	59036
1328	21362	59006
1329	21374	58979
1330	21386	58953
1331	21407	58949
1332	21424	58938
1333	21440	58922
1334	21460	58914
1335	21474	58894
1336	21489	58875
1337	21513	58882
1338	21536	58883
1339	21553	58869
1340	21567	58849
1341	21582	58828
1342	21597	58810
1343	21612	58790
1344	21627	58771
1345	21641	58749
1346	21655	58728
1347	21669	58705
1348	21681	58680
1349	21695	58657
1350	21708	58633
1351	21723	58615
1352	21739	58599
1353	21752	58575
1354	21772	58568
1355	21787	58551
1356	21804	58536
1357	21819	58517
1358	21832	58494
1359	21846	58470
1360	21860	58449
1361	21874	58428
1362	21887	58405
1363	21901	58382
1364	21915	58360
1365	21928	58335
1366	21945	58322
1367	21960	58303
1368	21973	58279
1369	21986	58257
1370	21999	58232
1371	22014	58212
1372	22027	58188
1373	22042	58169
1374	22056	58149
1375	22071	58129
1376	22085	58107
1377	22098	58084
1378	22113	58066
1379	22126	58041
1380	22140	58019
1381	22152	57994
1382	22165	57970
1383	22178	57945
1384	22190	57920
1385	22203	57894
1386	22215	57869
1387	22228	57844
1388	22242	57823
1389	22256	57802
1390	22270	57782
1391	22284	57759
1392	22296	57734
1393	22308	57708
1394	22322	57685
1395	22335	57661
1396	22348	57638
1397	22360	57613
1398	22373	57590
1399	22385	57563
1400	22397	57537
1401	22410	57512
1402	22422	57486
1403	22435	57462
1404	22447	57436
1405	22460	57413
1406	22472	57387
1407	22486	57365
1408	22500	57344
1409	22512	57319
1410	22525	57296
1411	22539	57273
1412	22553	57252
1413	22564	57226
1414	22578	57204
1415	22589	57176
1416	22604	57157
1417	22616	57130
1418	22630	57110
1419	22643	57086
1420	22658	57067
1421	22670	57043
1422	22683	57018
1423	22695	56993
1424	22710	56975
1425	22723	56950
1426	22734	56924
1427	22747	56901
1428	22760	56877
1429	22771	56849
1430	22783	56822
1431	22796	56801
1432	22809	56776
1433	22820	56748
1434	22831	56721
1435	22843	56695
1436	22855	56670
1437	22867	56644
1438	22879	56617
1439	22891	56591
1440	22903	56567
1441	22915	56541
1442	22926	56515
1443	22939	56489
1444	22951	56466
1445	22963	56441
1446	22976	56416
1447	22986	56387
1448	22998	56362
1449	23010	56335
1450	23021	56309
1451	23035	56287
1452	23048	56264
1453	23062	56243
1454	23076	56224
1455	23087	56197
1456	23100	56174
1457	23113	56151
1458	23128	56132
1459	23140	56106
1460	23154	56086
1461	23165	56060
1462	23179	56039
1463	23190	56012
1464	23204	55991
1465	23216	55965
1466	23231	55949
1467	23245	55928
1468	23258	55904
1469	23270	55881
1470	23283	55858
1471	23296	55836
1472	23308	55809
1473	23320	55785
1474	23332	55760
1475	23344	55736
1476	23356	55711
1477	23368	55686
1478	23380	55661
1479	23392	55636
1480	23405	55613
1481	23417	55588
1482	23429	55564
1483	23441	55540
1484	23455	55518
1485	23469	55499
1486	23481	55475
1487	23493	55450
1488	23505	55424
1489	23516	55398
1490	23528	55372
1491	23540	55348
1492	23552	55323
1493	23564	55298
1494	23576	55275
1495	23588	55251
1496	23601	55228
1497	23613	55202
1498	23624	55177
1499	23637	55155
1500	23650	55130
1501	23662	55106
1502	23675	55085
1503	23689	55066
1504	23701	55041
1505	23714	55017
1506	23728	54998
1507	23741	54978
1508	23753	54952
1509	23765	54928
1510	23777	54903
1511	23792	54886
1512	23805	54863
1513	23817	54839
1514	23828	54813
1515	23840	54789
1516	23852	54765
1517	23865	54742
1518	23876	54716
1519	23888	54691
1520	23901	54669
1521	23913	54645
1522	23925	54622
1523	23938	54599
1524	23950	54575
1525	23962	54552
1526	23975	54529
1527	23986	54504
1528	23998	54479
1529	24010	54454
1530	24022	54430
1531	24034	54406
1532	24046	54382
1533	24058	54359
1534	24069	54333
1535	24081	54308
1536	24093	54284
1537	24104	54259
1538	24117	54236
1539	24129	54213
1540	24141	54188
1541	24152	54163
1542	24164	54139
1543	24176	54114
1544	24188	54090
1545	24199	54066
1546	24211	54040
1547	24222	54015
1548	24233	53990
1549	24245	53966
1550	24257	53942
1551	24269	53918
1552	24281	53894
1553	24294	53873
1554	24306	53849
1555	24318	53825
1556	24329	53800
1557	24341	53776
1558	24353	53752
1559	24365	53728
1560	24376	53703
1561	24387	53677
1562	24399	53653
1563	24410	53627
1564	24420	53601
1565	24432	53575
1566	24443	53550
1567	24454	53524
1568	24466	53501
1569	24477	53477
1570	24489	53452
1571	24501	53428
1572	24512	53404
1573	24524	53379
1574	24536	53357
1575	24548	53334
1576	24560	53310
1577	24572	53287
1578	24584	53263
1579	24596	53240
1580	24608	53217
1581	24620	53193
1582	24631	53169
1583	24644	53146
1584	24659	53129
1585	24672	53109
1586	24684	53086
1587	24697	53064
1588	24709	53042
1589	24721	53020
1590	24733	52996
1591	24745	52973
1592	24757	52948
1593	24768	52925
1594	24783	52907
1595	24795	52884
1596	24806	52860
1597	24819	52837
1598	24830	52813
1599	24842	52790
1600	24853	52765
1601	24865	52742
1602	24877	52718
1603	24888	52694
1604	24900	52670
1605	24911	52646
1606	24925	52627
1607	24939	52607
1608	24951	52586
1609	24965	52567
1610	24978	52547
1611	24990	52523
1612	25004	52504
1613	25019	52488
1614	25036	52474
1615	25047	52450
1616	25061	52432
1617	25074	52411
1618	25087	52390
1619	25100	52369
1620	25112	52346
1621	25124	52324
1622	25135	52300
1623	25148	52278
1624	25159	52254
1625	25173	52235
1626	25184	52211
1627	25196	52188
1628	25208	52165
1629	25220	52143
1630	25232	52120
1631	25244	52096
1632	25255	52073
1633	25267	52050
1634	25279	52027
1635	25290	52004
1636	25303	51982
1637	25315	51959
1638	25326	51935
1639	25339	51915
1640	25350	51891
1641	25362	51868
1642	25374	51846
1643	25387	51825
1644	25399	51802
1645	25411	51779
1646	25424	51758
1647	25435	51736
1648	25446	51711
1649	25457	51687
1650	25469	51664
1651	25481	51641
1652	25493	51619
1653	25506	51599
1654	25518	51577
1655	25531	51555
1656	25542	51532
1657	25555	51510
1658	25566	51487
1659	25579	51467
1660	25591	51445
1661	25604	51424
1662	25618	51406
1663	25637	51398
1664	25655	51387
1665	25669	51369
1666	25686	51357
1667	25702	51343
1668	25715	51323
